timestamp,distance_band,detections,total_objects,detection_rate
6.117295,próximo,0,0,0.0
6.117295,médio,0,0,0.0
6.117295,distante,1,1,1.0
6.170295,próximo,0,0,0.0
6.170295,médio,0,0,0.0
6.170295,distante,1,1,1.0
6.213821,próximo,0,0,0.0
6.213821,médio,0,0,0.0
6.213821,distante,1,1,1.0
6.266358,próximo,0,0,0.0
6.266358,médio,0,0,0.0
6.266358,distante,1,1,1.0
6.347414,próximo,0,0,0.0
6.347414,médio,0,0,0.0
6.347414,distante,1,1,1.0
6.401963,próximo,0,0,0.0
6.401963,médio,0,0,0.0
6.401963,distante,1,1,1.0
6.476913,próximo,0,0,0.0
6.476913,médio,0,0,0.0
6.476913,distante,2,2,1.0
6.529108,próximo,0,0,0.0
6.529108,médio,0,0,0.0
6.529108,distante,3,3,1.0
6.568195,próximo,0,0,0.0
6.568195,médio,0,0,0.0
6.568195,distante,4,4,1.0
6.62571,próximo,0,0,0.0
6.62571,médio,0,0,0.0
6.62571,distante,5,5,1.0
6.697251,próximo,0,0,0.0
6.697251,médio,0,0,0.0
6.697251,distante,5,5,1.0
6.748767,próximo,0,0,0.0
6.748767,médio,0,0,0.0
6.748767,distante,5,5,1.0
6.80877,próximo,0,0,0.0
6.80877,médio,0,0,0.0
6.80877,distante,5,5,1.0
6.850379,próximo,0,0,0.0
6.850379,médio,0,0,0.0
6.850379,distante,5,5,1.0
7.152388,próximo,0,0,0.0
7.152388,médio,0,0,0.0
7.152388,distante,5,5,1.0
7.237658,próximo,0,0,0.0
7.237658,médio,0,0,0.0
7.237658,distante,5,5,1.0
7.521699,próximo,0,0,0.0
7.521699,médio,0,0,0.0
7.521699,distante,5,5,1.0
7.590666,próximo,0,0,0.0
7.590666,médio,0,0,0.0
7.590666,distante,5,5,1.0
7.903822,próximo,0,0,0.0
7.903822,médio,0,0,0.0
7.903822,distante,5,5,1.0
8.00649,próximo,0,0,0.0
8.00649,médio,0,0,0.0
8.00649,distante,5,5,1.0
8.312986,próximo,0,0,0.0
8.312986,médio,0,0,0.0
8.312986,distante,5,5,1.0
8.381375,próximo,0,0,0.0
8.381375,médio,0,0,0.0
8.381375,distante,5,5,1.0
8.662064,próximo,0,0,0.0
8.662064,médio,0,0,0.0
8.662064,distante,5,5,1.0
8.723276,próximo,0,0,0.0
8.723276,médio,0,0,0.0
8.723276,distante,5,5,1.0
9.015514,próximo,0,0,0.0
9.015514,médio,0,0,0.0
9.015514,distante,5,5,1.0
9.093801,próximo,0,0,0.0
9.093801,médio,0,0,0.0
9.093801,distante,5,5,1.0
9.40418,próximo,0,0,0.0
9.40418,médio,0,0,0.0
9.40418,distante,5,5,1.0
9.468463,próximo,0,0,0.0
9.468463,médio,0,0,0.0
9.468463,distante,5,5,1.0
9.740998,próximo,0,0,0.0
9.740998,médio,0,0,0.0
9.740998,distante,6,6,1.0
9.799975,próximo,0,0,0.0
9.799975,médio,0,0,0.0
9.799975,distante,7,7,1.0
10.087023,próximo,0,0,0.0
10.087023,médio,0,0,0.0
10.087023,distante,8,8,1.0
10.191228,próximo,0,0,0.0
10.191228,médio,0,0,0.0
10.191228,distante,9,9,1.0
10.550283,próximo,0,0,0.0
10.550283,médio,0,0,0.0
10.550283,distante,10,10,1.0
10.616051,próximo,0,0,0.0
10.616051,médio,0,0,0.0
10.616051,distante,11,11,1.0
10.924522,próximo,0,0,0.0
10.924522,médio,0,0,0.0
10.924522,distante,12,12,1.0
10.996894,próximo,0,0,0.0
10.996894,médio,0,0,0.0
10.996894,distante,13,13,1.0
11.346206,próximo,0,0,0.0
11.346206,médio,0,0,0.0
11.346206,distante,13,13,1.0
11.435952,próximo,0,0,0.0
11.435952,médio,0,0,0.0
11.435952,distante,13,13,1.0
11.715078,próximo,0,0,0.0
11.715078,médio,0,0,0.0
11.715078,distante,13,13,1.0
11.798291,próximo,0,0,0.0
11.798291,médio,0,0,0.0
11.798291,distante,13,13,1.0
12.118376,próximo,0,0,0.0
12.118376,médio,0,0,0.0
12.118376,distante,13,13,1.0
12.223402,próximo,0,0,0.0
12.223402,médio,0,0,0.0
12.223402,distante,13,13,1.0
12.556115,próximo,0,0,0.0
12.556115,médio,0,0,0.0
12.556115,distante,13,13,1.0
12.62114,próximo,0,0,0.0
12.62114,médio,0,0,0.0
12.62114,distante,13,13,1.0
12.902887,próximo,0,0,0.0
12.902887,médio,0,0,0.0
12.902887,distante,13,13,1.0
12.980414,próximo,0,0,0.0
12.980414,médio,0,0,0.0
12.980414,distante,13,13,1.0
13.282211,próximo,0,0,0.0
13.282211,médio,0,0,0.0
13.282211,distante,13,13,1.0
13.384749,próximo,0,0,0.0
13.384749,médio,0,0,0.0
13.384749,distante,13,13,1.0
13.679951,próximo,0,0,0.0
13.679951,médio,0,0,0.0
13.679951,distante,13,13,1.0
13.762413,próximo,0,0,0.0
13.762413,médio,0,0,0.0
13.762413,distante,13,13,1.0
14.040069,próximo,0,0,0.0
14.040069,médio,0,0,0.0
14.040069,distante,13,13,1.0
14.131048,próximo,0,0,0.0
14.131048,médio,0,0,0.0
14.131048,distante,13,13,1.0
14.442734,próximo,0,0,0.0
14.442734,médio,0,0,0.0
14.442734,distante,13,13,1.0
14.550262,próximo,0,0,0.0
14.550262,médio,0,0,0.0
14.550262,distante,13,13,1.0
14.851805,próximo,0,0,0.0
14.851805,médio,0,0,0.0
14.851805,distante,13,13,1.0
14.915613,próximo,0,0,0.0
14.915613,médio,0,0,0.0
14.915613,distante,13,13,1.0
15.210008,próximo,0,0,0.0
15.210008,médio,0,0,0.0
15.210008,distante,13,13,1.0
15.470846,próximo,0,0,0.0
15.470846,médio,0,0,0.0
15.470846,distante,13,13,1.0
15.762701,próximo,0,0,0.0
15.762701,médio,0,0,0.0
15.762701,distante,13,13,1.0
15.826611,próximo,0,0,0.0
15.826611,médio,0,0,0.0
15.826611,distante,13,13,1.0
16.124877,próximo,0,0,0.0
16.124877,médio,0,0,0.0
16.124877,distante,13,13,1.0
16.218754,próximo,0,0,0.0
16.218754,médio,0,0,0.0
16.218754,distante,13,13,1.0
16.530596,próximo,0,0,0.0
16.530596,médio,0,0,0.0
16.530596,distante,13,13,1.0
16.634874,próximo,0,0,0.0
16.634874,médio,0,0,0.0
16.634874,distante,13,13,1.0
16.934942,próximo,0,0,0.0
16.934942,médio,0,0,0.0
16.934942,distante,13,13,1.0
17.014273,próximo,0,0,0.0
17.014273,médio,0,0,0.0
17.014273,distante,13,13,1.0
17.324237,próximo,0,0,0.0
17.324237,médio,0,0,0.0
17.324237,distante,13,13,1.0
17.388778,próximo,0,0,0.0
17.388778,médio,0,0,0.0
17.388778,distante,13,13,1.0
17.66324,próximo,0,0,0.0
17.66324,médio,0,0,0.0
17.66324,distante,14,14,1.0
17.763697,próximo,0,0,0.0
17.763697,médio,0,0,0.0
17.763697,distante,15,15,1.0
18.040774,próximo,0,0,0.0
18.040774,médio,0,0,0.0
18.040774,distante,16,16,1.0
18.109772,próximo,0,0,0.0
18.109772,médio,0,0,0.0
18.109772,distante,17,17,1.0
18.437382,próximo,0,0,0.0
18.437382,médio,0,0,0.0
18.437382,distante,18,18,1.0
18.54662,próximo,0,0,0.0
18.54662,médio,0,0,0.0
18.54662,distante,19,19,1.0
18.865306,próximo,0,0,0.0
18.865306,médio,0,0,0.0
18.865306,distante,19,19,1.0
18.979288,próximo,0,0,0.0
18.979288,médio,0,0,0.0
18.979288,distante,19,19,1.0
19.286873,próximo,0,0,0.0
19.286873,médio,0,0,0.0
19.286873,distante,19,19,1.0
19.358038,próximo,0,0,0.0
19.358038,médio,0,0,0.0
19.358038,distante,19,19,1.0
19.671637,próximo,0,0,0.0
19.671637,médio,0,0,0.0
19.671637,distante,20,20,1.0
19.750206,próximo,0,0,0.0
