timestamp,warnings_count,warning_types,high_severity,medium_severity,low_severity
6.120296,1,{'car': 1},0,0,1
6.172297,0,{},0,0,0
6.216345,0,{},0,0,0
6.268346,0,{},0,0,0
6.348417,0,{},0,0,0
6.40407,0,{},0,0,0
6.478915,1,{'car': 1},0,0,1
6.531108,1,{'car': 1},0,0,1
6.571193,1,{'car': 1},0,0,1
6.629712,1,{'car': 1},0,0,1
6.698247,0,{},0,0,0
6.750767,0,{},0,0,0
6.81077,0,{},0,0,0
6.852384,0,{},0,0,0
7.154027,0,{},0,0,0
7.240762,0,{},0,0,0
7.523396,0,{},0,0,0
7.592211,0,{},0,0,0
7.905413,0,{},0,0,0
8.008129,0,{},0,0,0
8.314599,0,{},0,0,0
8.382941,0,{},0,0,0
8.663997,0,{},0,0,0
8.724856,0,{},0,0,0
9.018691,0,{},0,0,0
9.095372,0,{},0,0,0
9.407402,0,{},0,0,0
9.471669,0,{},0,0,0
9.744163,1,{'car': 1},0,0,1
9.80338,1,{'car': 1},0,0,1
10.09031,1,{'car': 1},0,0,1
10.194497,1,{'car': 1},0,0,1
10.553645,1,{'car': 1},0,0,1
10.619433,1,{'car': 1},0,0,1
10.926418,1,{'car': 1},0,0,1
10.998427,1,{'car': 1},0,0,1
11.349685,0,{},0,0,0
11.43757,0,{},0,0,0
11.71668,0,{},0,0,0
11.799921,0,{},0,0,0
12.120879,0,{},0,0,0
12.224401,0,{},0,0,0
12.558119,0,{},0,0,0
12.623161,0,{},0,0,0
12.904886,0,{},0,0,0
12.982415,0,{},0,0,0
13.284209,0,{},0,0,0
13.386767,0,{},0,0,0
13.682951,0,{},0,0,0
13.764017,0,{},0,0,0
14.043351,0,{},0,0,0
14.132612,0,{},0,0,0
14.444452,0,{},0,0,0
14.551971,0,{},0,0,0
14.855109,0,{},0,0,0
14.91721,0,{},0,0,0
15.213304,0,{},0,0,0
15.47243,0,{},0,0,0
15.764269,0,{},0,0,0
15.829832,0,{},0,0,0
16.127266,0,{},0,0,0
16.220342,0,{},0,0,0
16.53215,0,{},0,0,0
16.636504,0,{},0,0,0
16.936577,0,{},0,0,0
17.01771,0,{},0,0,0
17.326698,0,{},0,0,0
17.390393,0,{},0,0,0
17.664906,1,{'car': 1},0,0,1
17.767028,1,{'car': 1},0,0,1
18.043995,1,{'car': 1},0,0,1
18.113106,1,{'car': 1},0,0,1
18.438967,1,{'car': 1},0,0,1
18.549784,1,{'car': 1},0,0,1
18.868303,0,{},0,0,0
18.982292,0,{},0,0,0
19.289873,0,{},0,0,0
19.360039,0,{},0,0,0
19.674634,1,{'car': 1},0,0,1
19.753205,1,{'car': 1},0,0,1
20.055,1,{'car': 1},0,0,1
20.158042,1,{'car': 1},0,0,1
20.466305,1,{'car': 1},0,0,1
20.535344,1,{'car': 1},0,0,1
20.844768,1,{'car': 1},0,0,1
21.103483,1,{'car': 1},0,0,1
21.44519,1,{'car': 1},0,0,1
21.578012,1,{'car': 1},0,0,1
21.902829,1,{'car': 1},0,0,1
22.131263,1,{'car': 1},0,0,1
22.451424,0,{},0,0,0
22.518048,1,{'car': 1},0,0,1
22.812413,1,{'car': 1},0,0,1
22.904812,0,{},0,0,0
23.200581,0,{},0,0,0
23.284636,0,{},0,0,0
23.629597,0,{},0,0,0
23.73596,0,{},0,0,0
24.036078,0,{},0,0,0
24.136466,0,{},0,0,0
24.434546,0,{},0,0,0
24.511217,0,{},0,0,0
24.80418,0,{},0,0,0
24.886831,0,{},0,0,0
25.173577,0,{},0,0,0
25.258354,0,{},0,0,0
25.546536,0,{},0,0,0
25.668773,0,{},0,0,0
25.961742,0,{},0,0,0
26.03477,0,{},0,0,0
26.322364,0,{},0,0,0
26.396901,0,{},0,0,0
26.727338,0,{},0,0,0
26.964221,0,{},0,0,0
27.324376,1,{'car': 1},0,0,1
27.405441,1,{'car': 1},0,0,1
27.713521,1,{'car': 1},0,0,1
27.833611,0,{},0,0,0
28.149242,0,{},0,0,0
28.221419,0,{},0,0,0
28.560462,0,{},0,0,0
28.777084,0,{},0,0,0
29.075205,0,{},0,0,0
29.170022,0,{},0,0,0
29.481302,0,{},0,0,0
29.572027,0,{},0,0,0
29.901946,0,{},0,0,0
30.131928,0,{},0,0,0
30.465617,0,{},0,0,0
30.593243,0,{},0,0,0
30.917331,1,{'car': 1},0,0,1
30.988252,0,{},0,0,0
31.284643,0,{},0,0,0
31.374235,0,{},0,0,0
31.661509,0,{},0,0,0
31.730514,0,{},0,0,0
32.030868,0,{},0,0,0
32.099891,0,{},0,0,0
32.390971,0,{},0,0,0
32.469021,0,{},0,0,0
32.758201,1,{'car': 1},0,0,1
32.872711,1,{'car': 1},0,0,1
33.193238,0,{},0,0,0
33.26323,0,{},0,0,0
33.594759,1,{'car': 1},0,0,1
33.674121,1,{'car': 1},0,0,1
33.960181,1,{'car': 1},0,0,1
34.052901,1,{'car': 1},0,0,1
34.356692,1,{'car': 1},0,0,1
34.437217,1,{'car': 1},0,0,1
34.760351,0,{},0,0,0
34.891376,0,{},0,0,0
35.194022,1,{'car': 1},0,0,1
35.273586,1,{'car': 1},0,0,1
35.58585,1,{'car': 1},0,0,1
35.672434,0,{},0,0,0
36.00102,0,{},0,0,0
36.226288,0,{},0,0,0
36.552728,0,{},0,0,0
36.619705,0,{},0,0,0
36.932162,1,{'car': 1},0,0,1
37.064121,0,{},0,0,0
37.373421,1,{'car': 1},0,0,1
37.507446,1,{'car': 1},0,0,1
37.815733,1,{'car': 1},0,0,1
37.895164,1,{'car': 1},0,0,1
38.206826,0,{},0,0,0
38.293102,1,{'car': 1},0,0,1
38.599287,1,{'car': 1},0,0,1
38.668805,0,{},0,0,0
38.999732,0,{},0,0,0
39.233905,0,{},0,0,0
39.597021,1,{'car': 1},0,0,1
39.839758,1,{'car': 1},0,0,1
40.205334,1,{'car': 1},0,0,1
40.437216,1,{'car': 1},0,0,1
40.766362,1,{'car': 1},0,0,1
40.846789,0,{},0,0,0
41.158585,1,{'car': 1},0,0,1
41.229585,1,{'car': 1},0,0,1
41.565011,1,{'car': 1},0,0,1
41.637032,1,{'car': 1},0,0,1
41.926825,1,{'car': 1},0,0,1
41.996923,1,{'car': 1},0,0,1
42.314068,1,{'car': 1},0,0,1
42.392088,1,{'car': 1},0,0,1
42.704193,1,{'car': 1},0,0,1
42.842771,1,{'car': 1},0,0,1
43.145946,1,{'car': 1},0,0,1
43.219448,1,{'car': 1},0,0,1
43.529987,1,{'car': 1},0,0,1
43.626559,1,{'car': 1},0,0,1
43.942271,1,{'car': 1},0,0,1
44.018305,1,{'car': 1},0,0,1
44.325679,1,{'car': 1},0,0,1
44.405478,1,{'car': 1},0,0,1
44.717038,1,{'car': 1},0,0,1
44.837813,1,{'car': 1},0,0,1
45.154078,1,{'car': 1},0,0,1
45.257854,1,{'car': 1},0,0,1
45.57873,1,{'car': 1},0,0,1
45.655792,1,{'car': 1},0,0,1
45.975984,1,{'car': 1},0,0,1
46.226476,1,{'car': 1},0,0,1
46.557251,1,{'car': 1},0,0,1
46.819321,1,{'car': 1},0,0,1
47.150778,1,{'car': 1},0,0,1
47.281122,1,{'car': 1},0,0,1
47.612714,1,{'car': 1},0,0,1
47.691283,1,{'car': 1},0,0,1
48.001042,1,{'car': 1},0,0,1
48.080567,1,{'car': 1},0,0,1
48.384751,1,{'car': 1},0,0,1
48.470783,1,{'car': 1},0,0,1
48.787696,1,{'car': 1},0,0,1
48.905999,1,{'car': 1},0,0,1
49.231878,1,{'car': 1},0,0,1
49.461508,1,{'car': 1},0,0,1
49.798666,1,{'car': 1},0,0,1
49.899295,1,{'car': 1},0,0,1
50.233968,1,{'car': 1},0,0,1
50.516093,1,{'car': 1},0,0,1
50.969705,1,{'car': 1},0,0,1
51.212268,1,{'car': 1},0,0,1
51.562536,1,{'car': 1},0,0,1
51.803299,1,{'car': 1},0,0,1
52.130213,1,{'car': 1},0,0,1
52.238992,1,{'car': 1},0,0,1
52.555046,1,{'car': 1},0,0,1
52.821331,1,{'car': 1},0,0,1
53.140929,1,{'car': 1},0,0,1
53.39476,1,{'car': 1},0,0,1
53.744694,1,{'car': 1},0,0,1
53.841872,1,{'car': 1},0,0,1
54.155274,1,{'car': 1},0,0,1
54.235764,1,{'car': 1},0,0,1
54.567551,1,{'car': 1},0,0,1
54.799796,1,{'car': 1},0,0,1
55.146076,1,{'car': 1},0,0,1
55.409344,1,{'car': 1},0,0,1
55.741515,1,{'car': 1},0,0,1
56.01636,1,{'car': 1},0,0,1
56.352766,1,{'car': 1},0,0,1
56.623444,1,{'car': 1},0,0,1
56.985608,1,{'car': 1},0,0,1
57.078635,1,{'car': 1},0,0,1
57.406212,1,{'car': 1},0,0,1
57.68039,1,{'car': 1},0,0,1
58.018252,1,{'car': 1},0,0,1
