timestamp,distance_band,detections,total_objects,detection_rate
5.745648,próximo,0,0,0.0
5.745648,médio,0,0,0.0
5.745648,distante,1,1,1.0
5.783175,próximo,0,0,0.0
5.783175,médio,0,0,0.0
5.783175,distante,1,1,1.0
5.829756,próximo,0,0,0.0
5.829756,médio,0,0,0.0
5.829756,distante,1,1,1.0
5.874043,próximo,0,0,0.0
5.874043,médio,0,0,0.0
5.874043,distante,1,1,1.0
5.938863,próximo,0,0,0.0
5.938863,médio,0,0,0.0
5.938863,distante,1,1,1.0
6.007389,próximo,0,0,0.0
6.007389,médio,0,0,0.0
6.007389,distante,1,1,1.0
6.056392,próximo,0,0,0.0
6.056392,médio,0,0,0.0
6.056392,distante,1,1,1.0
6.100455,próximo,0,0,0.0
6.100455,médio,0,0,0.0
6.100455,distante,1,1,1.0
6.152442,próximo,0,0,0.0
6.152442,médio,0,0,0.0
6.152442,distante,1,1,1.0
6.196965,próximo,0,0,0.0
6.196965,médio,0,0,0.0
6.196965,distante,1,1,1.0
6.235123,próximo,0,0,0.0
6.235123,médio,0,0,0.0
6.235123,distante,1,1,1.0
6.280138,próximo,0,0,0.0
6.280138,médio,0,0,0.0
6.280138,distante,1,1,1.0
6.326486,próximo,0,0,0.0
6.326486,médio,0,0,0.0
6.326486,distante,1,1,1.0
6.381882,próximo,0,0,0.0
6.381882,médio,0,0,0.0
6.381882,distante,1,1,1.0
6.666324,próximo,0,0,0.0
6.666324,médio,0,0,0.0
6.666324,distante,1,1,1.0
6.734051,próximo,0,0,0.0
6.734051,médio,0,0,0.0
6.734051,distante,1,1,1.0
7.019543,próximo,0,0,0.0
7.019543,médio,0,0,0.0
7.019543,distante,1,1,1.0
7.100604,próximo,0,0,0.0
7.100604,médio,0,0,0.0
7.100604,distante,1,1,1.0
7.426626,próximo,0,0,0.0
7.426626,médio,0,0,0.0
7.426626,distante,1,1,1.0
7.487199,próximo,0,0,0.0
7.487199,médio,0,0,0.0
7.487199,distante,1,1,1.0
7.767111,próximo,0,0,0.0
7.767111,médio,0,0,0.0
7.767111,distante,1,1,1.0
7.834621,próximo,0,0,0.0
7.834621,médio,0,0,0.0
7.834621,distante,1,1,1.0
8.122105,próximo,0,0,0.0
8.122105,médio,0,0,0.0
8.122105,distante,1,1,1.0
8.218125,próximo,0,0,0.0
8.218125,médio,0,0,0.0
8.218125,distante,1,1,1.0
8.51413,próximo,0,0,0.0
8.51413,médio,0,0,0.0
8.51413,distante,1,1,1.0
8.58665,próximo,0,0,0.0
8.58665,médio,0,0,0.0
8.58665,distante,1,1,1.0
8.933354,próximo,0,0,0.0
8.933354,médio,0,0,0.0
8.933354,distante,1,1,1.0
8.999867,próximo,0,0,0.0
8.999867,médio,0,0,0.0
8.999867,distante,1,1,1.0
9.314413,próximo,0,0,0.0
9.314413,médio,0,0,0.0
9.314413,distante,1,1,1.0
9.400511,próximo,0,0,0.0
9.400511,médio,0,0,0.0
9.400511,distante,2,2,1.0
9.787581,próximo,0,0,0.0
9.787581,médio,0,0,0.0
9.787581,distante,3,3,1.0
9.866616,próximo,0,0,0.0
9.866616,médio,0,0,0.0
9.866616,distante,4,4,1.0
10.19791,próximo,0,0,0.0
10.19791,médio,0,0,0.0
10.19791,distante,5,5,1.0
10.437118,próximo,0,0,0.0
10.437118,médio,0,0,0.0
10.437118,distante,6,6,1.0
10.754914,próximo,0,0,0.0
10.754914,médio,0,0,0.0
10.754914,distante,7,7,1.0
10.839208,próximo,0,0,0.0
10.839208,médio,0,0,0.0
10.839208,distante,8,8,1.0
11.143965,próximo,0,0,0.0
11.143965,médio,0,0,0.0
11.143965,distante,9,9,1.0
11.226758,próximo,0,0,0.0
11.226758,médio,0,0,0.0
11.226758,distante,9,9,1.0
11.520196,próximo,0,0,0.0
11.520196,médio,0,0,0.0
11.520196,distante,9,9,1.0
11.591144,próximo,0,0,0.0
11.591144,médio,0,0,0.0
11.591144,distante,9,9,1.0
11.877868,próximo,0,0,0.0
11.877868,médio,0,0,0.0
11.877868,distante,9,9,1.0
11.964577,próximo,0,0,0.0
11.964577,médio,0,0,0.0
11.964577,distante,9,9,1.0
12.269115,próximo,0,0,0.0
12.269115,médio,0,0,0.0
12.269115,distante,9,9,1.0
12.387404,próximo,0,0,0.0
12.387404,médio,0,0,0.0
12.387404,distante,9,9,1.0
12.656193,próximo,0,0,0.0
12.656193,médio,0,0,0.0
12.656193,distante,9,9,1.0
12.726137,próximo,0,0,0.0
12.726137,médio,0,0,0.0
12.726137,distante,9,9,1.0
13.037409,próximo,0,0,0.0
13.037409,médio,0,0,0.0
13.037409,distante,9,9,1.0
13.251769,próximo,0,0,0.0
13.251769,médio,0,0,0.0
13.251769,distante,9,9,1.0
13.544222,próximo,0,0,0.0
13.544222,médio,0,0,0.0
13.544222,distante,9,9,1.0
13.624463,próximo,0,0,0.0
13.624463,médio,0,0,0.0
13.624463,distante,9,9,1.0
13.980841,próximo,0,0,0.0
13.980841,médio,0,0,0.0
13.980841,distante,9,9,1.0
14.227643,próximo,0,0,0.0
14.227643,médio,0,0,0.0
14.227643,distante,9,9,1.0
14.528087,próximo,0,0,0.0
14.528087,médio,0,0,0.0
14.528087,distante,9,9,1.0
14.633413,próximo,0,0,0.0
14.633413,médio,0,0,0.0
14.633413,distante,9,9,1.0
14.943014,próximo,0,0,0.0
14.943014,médio,0,0,0.0
14.943014,distante,9,9,1.0
15.009019,próximo,0,0,0.0
15.009019,médio,0,0,0.0
15.009019,distante,9,9,1.0
15.311856,próximo,0,0,0.0
15.311856,médio,0,0,0.0
15.311856,distante,9,9,1.0
15.379859,próximo,0,0,0.0
15.379859,médio,0,0,0.0
15.379859,distante,9,9,1.0
15.67998,próximo,0,0,0.0
15.67998,médio,0,0,0.0
15.67998,distante,9,9,1.0
15.751731,próximo,0,0,0.0
15.751731,médio,0,0,0.0
15.751731,distante,9,9,1.0
16.066729,próximo,0,0,0.0
16.066729,médio,0,0,0.0
16.066729,distante,9,9,1.0
16.137885,próximo,0,0,0.0
16.137885,médio,0,0,0.0
16.137885,distante,9,9,1.0
16.423772,próximo,0,0,0.0
16.423772,médio,0,0,0.0
16.423772,distante,9,9,1.0
16.499021,próximo,0,0,0.0
16.499021,médio,0,0,0.0
16.499021,distante,9,9,1.0
16.800461,próximo,0,0,0.0
16.800461,médio,0,0,0.0
16.800461,distante,9,9,1.0
16.911371,próximo,0,0,0.0
16.911371,médio,0,0,0.0
16.911371,distante,9,9,1.0
17.224187,próximo,0,0,0.0
17.224187,médio,0,0,0.0
17.224187,distante,9,9,1.0
17.291834,próximo,0,0,0.0
17.291834,médio,0,0,0.0
17.291834,distante,9,9,1.0
17.628795,próximo,0,0,0.0
17.628795,médio,0,0,0.0
17.628795,distante,9,9,1.0
17.866742,próximo,0,0,0.0
17.866742,médio,0,0,0.0
17.866742,distante,10,10,1.0
18.182299,próximo,0,0,0.0
18.182299,médio,0,0,0.0
18.182299,distante,11,11,1.0
18.261264,próximo,0,0,0.0
18.261264,médio,0,0,0.0
18.261264,distante,12,12,1.0
18.567699,próximo,0,0,0.0
18.567699,médio,0,0,0.0
18.567699,distante,13,13,1.0
18.627157,próximo,0,0,0.0
18.627157,médio,0,0,0.0
18.627157,distante,14,14,1.0
18.930019,próximo,0,0,0.0
18.930019,médio,0,0,0.0
18.930019,distante,15,15,1.0
19.054852,próximo,0,0,0.0
19.054852,médio,0,0,0.0
19.054852,distante,15,15,1.0
19.360025,próximo,0,0,0.0
19.360025,médio,0,0,0.0
19.360025,distante,15,15,1.0
19.427258,próximo,0,0,0.0
19.427258,médio,0,0,0.0
19.427258,distante,15,15,1.0
19.722003,próximo,0,0,0.0
19.722003,médio,0,0,0.0
19.722003,distante,15,15,1.0
19.805028,próximo,0,0,0.0
19.805028,médio,0,0,0.0
19.805028,distante,16,16,1.0
20.100016,próximo,0,0,0.0
20.100016,médio,0,0,0.0
20.100016,distante,17,17,1.0
20.167342,próximo,0,0,0.0
20.167342,médio,0,0,0.0
20.167342,distante,18,18,1.0
20.459792,próximo,0,0,0.0
20.459792,médio,0,0,0.0
20.459792,distante,19,19,1.0
20.539822,próximo,0,0,0.0
20.539822,médio,0,0,0.0
20.539822,distante,20,20,1.0
20.841138,próximo,0,0,0.0
20.841138,médio,0,0,0.0
20.841138,distante,21,21,1.0
20.919629,próximo,0,0,0.0
20.919629,médio,0,0,0.0
20.919629,distante,22,22,1.0
21.230066,próximo,0,0,0.0
21.230066,médio,0,0,0.0
21.230066,distante,23,23,1.0
21.351583,próximo,0,0,0.0
21.351583,médio,0,0,0.0
21.351583,distante,24,24,1.0
21.66341,próximo,0,0,0.0
21.66341,médio,0,0,0.0
21.66341,distante,25,25,1.0
21.735444,próximo,0,0,0.0
21.735444,médio,0,0,0.0
21.735444,distante,26,26,1.0
22.049747,próximo,0,0,0.0
22.049747,médio,0,0,0.0
22.049747,distante,27,27,1.0
22.124945,próximo,0,0,0.0
22.124945,médio,0,0,0.0
22.124945,distante,27,27,1.0
22.40783,próximo,0,0,0.0
22.40783,médio,0,0,0.0
22.40783,distante,27,27,1.0
22.498575,próximo,0,0,0.0
22.498575,médio,0,0,0.0
22.498575,distante,28,28,1.0
22.814026,próximo,0,0,0.0
22.814026,médio,0,0,0.0
22.814026,distante,29,29,1.0
22.916486,próximo,0,0,0.0
22.916486,médio,0,0,0.0
22.916486,distante,29,29,1.0
23.305998,próximo,0,0,0.0
23.305998,médio,0,0,0.0
23.305998,distante,29,29,1.0
23.551185,próximo,0,0,0.0
23.551185,médio,0,0,0.0
23.551185,distante,29,29,1.0
23.857392,próximo,0,0,0.0
23.857392,médio,0,0,0.0
23.857392,distante,29,29,1.0
23.937571,próximo,0,0,0.0
23.937571,médio,0,0,0.0
23.937571,distante,29,29,1.0
24.250565,próximo,0,0,0.0
24.250565,médio,0,0,0.0
24.250565,distante,29,29,1.0
24.329463,próximo,0,0,0.0
24.329463,médio,0,0,0.0
24.329463,distante,29,29,1.0
24.619332,próximo,0,0,0.0
24.619332,médio,0,0,0.0
24.619332,distante,29,29,1.0
24.697569,próximo,0,0,0.0
24.697569,médio,0,0,0.0
24.697569,distante,29,29,1.0
25.000145,próximo,0,0,0.0
25.000145,médio,0,0,0.0
25.000145,distante,29,29,1.0
25.081885,próximo,0,0,0.0
25.081885,médio,0,0,0.0
25.081885,distante,29,29,1.0
25.383496,próximo,0,0,0.0
25.383496,médio,0,0,0.0
25.383496,distante,29,29,1.0
25.477924,próximo,0,0,0.0
25.477924,médio,0,0,0.0
25.477924,distante,29,29,1.0
25.811922,próximo,0,0,0.0
25.811922,médio,0,0,0.0
25.811922,distante,29,29,1.0
25.882057,próximo,0,0,0.0
25.882057,médio,0,0,0.0
25.882057,distante,29,29,1.0
26.180547,próximo,0,0,0.0
26.180547,médio,0,0,0.0
26.180547,distante,29,29,1.0
26.251463,próximo,0,0,0.0
26.251463,médio,0,0,0.0
26.251463,distante,29,29,1.0
26.580717,próximo,0,0,0.0
26.580717,médio,0,0,0.0
26.580717,distante,29,29,1.0
26.650968,próximo,0,0,0.0
26.650968,médio,0,0,0.0
26.650968,distante,29,29,1.0
26.98738,próximo,0,0,0.0
26.98738,médio,0,0,0.0
26.98738,distante,29,29,1.0
27.230991,próximo,0,0,0.0
27.230991,médio,0,0,0.0
27.230991,distante,30,30,1.0
27.576202,próximo,0,0,0.0
27.576202,médio,0,0,0.0
27.576202,distante,31,31,1.0
27.703739,próximo,0,0,0.0
27.703739,médio,0,0,0.0
27.703739,distante,32,32,1.0
28.043601,próximo,0,0,0.0
28.043601,médio,0,0,0.0
28.043601,distante,33,33,1.0
28.153622,próximo,0,0,0.0
28.153622,médio,0,0,0.0
28.153622,distante,33,33,1.0
28.45583,próximo,0,0,0.0
28.45583,médio,0,0,0.0
28.45583,distante,33,33,1.0
28.537271,próximo,0,0,0.0
28.537271,médio,0,0,0.0
28.537271,distante,33,33,1.0
28.83448,próximo,0,0,0.0
28.83448,médio,0,0,0.0
28.83448,distante,33,33,1.0
28.912023,próximo,0,0,0.0
28.912023,médio,0,0,0.0
28.912023,distante,33,33,1.0
29.220157,próximo,0,0,0.0
29.220157,médio,0,0,0.0
29.220157,distante,33,33,1.0
29.318359,próximo,0,0,0.0
29.318359,médio,0,0,0.0
29.318359,distante,33,33,1.0
29.61997,próximo,0,0,0.0
29.61997,médio,0,0,0.0
29.61997,distante,33,33,1.0
29.708547,próximo,0,0,0.0
29.708547,médio,0,0,0.0
29.708547,distante,33,33,1.0
30.003164,próximo,0,0,0.0
30.003164,médio,0,0,0.0
30.003164,distante,33,33,1.0
30.08669,próximo,0,0,0.0
30.08669,médio,0,0,0.0
30.08669,distante,33,33,1.0
30.409442,próximo,0,0,0.0
30.409442,médio,0,0,0.0
30.409442,distante,33,33,1.0
30.544901,próximo,0,0,0.0
30.544901,médio,0,0,0.0
30.544901,distante,34,34,1.0
30.855936,próximo,0,0,0.0
30.855936,médio,0,0,0.0
30.855936,distante,35,35,1.0
30.93148,próximo,0,0,0.0
30.93148,médio,0,0,0.0
30.93148,distante,35,35,1.0
31.255287,próximo,0,0,0.0
31.255287,médio,0,0,0.0
31.255287,distante,35,35,1.0
31.35407,próximo,0,0,0.0
31.35407,médio,0,0,0.0
31.35407,distante,35,35,1.0
31.665248,próximo,0,0,0.0
31.665248,médio,0,0,0.0
31.665248,distante,35,35,1.0
31.737769,próximo,0,0,0.0
31.737769,médio,0,0,0.0
31.737769,distante,35,35,1.0
32.090037,próximo,0,0,0.0
32.090037,médio,0,0,0.0
32.090037,distante,35,35,1.0
32.185217,próximo,0,0,0.0
32.185217,médio,0,0,0.0
32.185217,distante,35,35,1.0
32.528058,próximo,0,0,0.0
32.528058,médio,0,0,0.0
32.528058,distante,35,35,1.0
32.664091,próximo,0,0,0.0
32.664091,médio,0,0,0.0
32.664091,distante,36,36,1.0
