timestamp,distance_band,detections,total_objects,detection_rate
5.789152,próximo,0,0,0.0
5.789152,médio,0,0,0.0
5.789152,distante,1,1,1.0
5.828152,próximo,0,0,0.0
5.828152,médio,0,0,0.0
5.828152,distante,1,1,1.0
5.882829,próximo,0,0,0.0
5.882829,médio,0,0,0.0
5.882829,distante,1,1,1.0
5.930367,próximo,0,0,0.0
5.930367,médio,0,0,0.0
5.930367,distante,1,1,1.0
5.999648,próximo,0,0,0.0
5.999648,médio,0,0,0.0
5.999648,distante,1,1,1.0
6.047064,próximo,0,0,0.0
6.047064,médio,0,0,0.0
6.047064,distante,1,1,1.0
6.103681,próximo,0,0,0.0
6.103681,médio,0,0,0.0
6.103681,distante,1,1,1.0
6.16324,próximo,0,0,0.0
6.16324,médio,0,0,0.0
6.16324,distante,3,3,1.0
6.221754,próximo,0,0,0.0
6.221754,médio,0,0,0.0
6.221754,distante,5,5,1.0
6.301742,próximo,0,0,0.0
6.301742,médio,0,0,0.0
6.301742,distante,7,7,1.0
6.345556,próximo,0,0,0.0
6.345556,médio,0,0,0.0
6.345556,distante,9,9,1.0
6.39945,próximo,0,0,0.0
6.39945,médio,0,0,0.0
6.39945,distante,10,10,1.0
6.45319,próximo,0,0,0.0
6.45319,médio,0,0,0.0
6.45319,distante,11,11,1.0
6.497673,próximo,0,0,0.0
6.497673,médio,0,0,0.0
6.497673,distante,12,12,1.0
6.754559,próximo,0,0,0.0
6.754559,médio,0,0,0.0
6.754559,distante,13,13,1.0
6.830564,próximo,0,0,0.0
6.830564,médio,0,0,0.0
6.830564,distante,14,14,1.0
7.089133,próximo,0,0,0.0
7.089133,médio,0,0,0.0
7.089133,distante,15,15,1.0
7.177746,próximo,0,0,0.0
7.177746,médio,0,0,0.0
7.177746,distante,16,16,1.0
7.451408,próximo,0,0,0.0
7.451408,médio,0,0,0.0
7.451408,distante,17,17,1.0
7.535781,próximo,0,0,0.0
7.535781,médio,0,0,0.0
7.535781,distante,18,18,1.0
7.814394,próximo,0,0,0.0
7.814394,médio,0,0,0.0
7.814394,distante,19,19,1.0
7.92793,próximo,0,0,0.0
7.92793,médio,0,0,0.0
7.92793,distante,20,20,1.0
8.214357,próximo,0,0,0.0
8.214357,médio,0,0,0.0
8.214357,distante,21,21,1.0
8.285391,próximo,0,0,0.0
8.285391,médio,0,0,0.0
8.285391,distante,22,22,1.0
8.604421,próximo,0,0,0.0
8.604421,médio,0,0,0.0
8.604421,distante,23,23,1.0
8.72241,próximo,0,0,0.0
8.72241,médio,0,0,0.0
8.72241,distante,24,24,1.0
9.049102,próximo,0,0,0.0
9.049102,médio,0,0,0.0
9.049102,distante,25,25,1.0
9.126252,próximo,0,0,0.0
9.126252,médio,0,0,0.0
9.126252,distante,26,26,1.0
9.3953,próximo,0,0,0.0
9.3953,médio,0,0,0.0
9.3953,distante,27,27,1.0
9.466326,próximo,0,0,0.0
9.466326,médio,0,0,0.0
9.466326,distante,28,28,1.0
9.734937,próximo,0,0,0.0
9.734937,médio,0,0,0.0
9.734937,distante,29,29,1.0
9.798465,próximo,0,0,0.0
9.798465,médio,0,0,0.0
9.798465,distante,30,30,1.0
10.139347,próximo,0,0,0.0
10.139347,médio,0,0,0.0
10.139347,distante,31,31,1.0
10.266651,próximo,0,0,0.0
10.266651,médio,0,0,0.0
10.266651,distante,32,32,1.0
10.578124,próximo,0,0,0.0
10.578124,médio,0,0,0.0
10.578124,distante,33,33,1.0
10.656881,próximo,0,0,0.0
10.656881,médio,0,0,0.0
10.656881,distante,34,34,1.0
10.943443,próximo,0,0,0.0
10.943443,médio,0,0,0.0
10.943443,distante,35,35,1.0
11.0144,próximo,0,0,0.0
11.0144,médio,0,0,0.0
11.0144,distante,35,35,1.0
11.29929,próximo,0,0,0.0
11.29929,médio,0,0,0.0
11.29929,distante,35,35,1.0
11.517288,próximo,0,0,0.0
11.517288,médio,0,0,0.0
11.517288,distante,35,35,1.0
11.805004,próximo,0,0,0.0
11.805004,médio,0,0,0.0
11.805004,distante,36,36,1.0
11.878352,próximo,0,0,0.0
11.878352,médio,0,0,0.0
11.878352,distante,37,37,1.0
12.164919,próximo,0,0,0.0
12.164919,médio,0,0,0.0
12.164919,distante,37,37,1.0
12.275443,próximo,0,0,0.0
12.275443,médio,0,0,0.0
12.275443,distante,37,37,1.0
12.548203,próximo,0,0,0.0
12.548203,médio,0,0,0.0
12.548203,distante,38,38,1.0
12.631735,próximo,0,0,0.0
12.631735,médio,0,0,0.0
12.631735,distante,39,39,1.0
12.929831,próximo,0,0,0.0
12.929831,médio,0,0,0.0
12.929831,distante,40,40,1.0
13.010117,próximo,0,0,0.0
13.010117,médio,0,0,0.0
13.010117,distante,40,40,1.0
13.270651,próximo,0,0,0.0
13.270651,médio,0,0,0.0
13.270651,distante,40,40,1.0
13.354338,próximo,0,0,0.0
13.354338,médio,0,0,0.0
13.354338,distante,40,40,1.0
13.617354,próximo,0,0,0.0
13.617354,médio,0,0,0.0
13.617354,distante,40,40,1.0
13.683259,próximo,0,0,0.0
13.683259,médio,0,0,0.0
13.683259,distante,40,40,1.0
14.009774,próximo,0,0,0.0
14.009774,médio,0,0,0.0
14.009774,distante,40,40,1.0
14.213422,próximo,0,0,0.0
14.213422,médio,0,0,0.0
14.213422,distante,40,40,1.0
14.497804,próximo,0,0,0.0
14.497804,médio,0,0,0.0
14.497804,distante,41,41,1.0
14.622231,próximo,0,0,0.0
14.622231,médio,0,0,0.0
14.622231,distante,42,42,1.0
14.937311,próximo,0,0,0.0
14.937311,médio,0,0,0.0
14.937311,distante,42,42,1.0
15.034681,próximo,0,0,0.0
15.034681,médio,0,0,0.0
15.034681,distante,43,43,1.0
15.316483,próximo,0,0,0.0
15.316483,médio,0,0,0.0
15.316483,distante,44,44,1.0
15.396759,próximo,0,0,0.0
15.396759,médio,0,0,0.0
15.396759,distante,44,44,1.0
15.693094,próximo,0,0,0.0
15.693094,médio,0,0,0.0
15.693094,distante,44,44,1.0
15.76953,próximo,0,0,0.0
15.76953,médio,0,0,0.0
15.76953,distante,44,44,1.0
16.093955,próximo,0,0,0.0
16.093955,médio,0,0,0.0
16.093955,distante,45,45,1.0
16.174004,próximo,0,0,0.0
16.174004,médio,0,0,0.0
16.174004,distante,46,46,1.0
16.496604,próximo,0,0,0.0
16.496604,médio,0,0,0.0
16.496604,distante,46,46,1.0
16.615669,próximo,0,0,0.0
16.615669,médio,0,0,0.0
16.615669,distante,46,46,1.0
16.930221,próximo,0,0,0.0
16.930221,médio,0,0,0.0
16.930221,distante,46,46,1.0
17.014316,próximo,0,0,0.0
17.014316,médio,0,0,0.0
17.014316,distante,46,46,1.0
17.33046,próximo,0,0,0.0
17.33046,médio,0,0,0.0
17.33046,distante,46,46,1.0
17.4045,próximo,0,0,0.0
17.4045,médio,0,0,0.0
17.4045,distante,47,47,1.0
17.707205,próximo,0,0,0.0
17.707205,médio,0,0,0.0
17.707205,distante,48,48,1.0
17.793988,próximo,0,0,0.0
17.793988,médio,0,0,0.0
17.793988,distante,49,49,1.0
18.06503,próximo,0,0,0.0
18.06503,médio,0,0,0.0
18.06503,distante,50,50,1.0
18.135039,próximo,0,0,0.0
18.135039,médio,0,0,0.0
18.135039,distante,51,51,1.0
18.42846,próximo,0,0,0.0
18.42846,médio,0,0,0.0
18.42846,distante,52,52,1.0
18.505553,próximo,0,0,0.0
18.505553,médio,0,0,0.0
18.505553,distante,53,53,1.0
18.826298,próximo,0,0,0.0
18.826298,médio,0,0,0.0
18.826298,distante,53,53,1.0
19.047418,próximo,0,0,0.0
19.047418,médio,0,0,0.0
19.047418,distante,53,53,1.0
19.359624,próximo,0,0,0.0
19.359624,médio,0,0,0.0
19.359624,distante,54,54,1.0
19.492954,próximo,0,0,0.0
19.492954,médio,0,0,0.0
19.492954,distante,55,55,1.0
19.789383,próximo,0,0,0.0
19.789383,médio,0,0,0.0
