timestamp,distance_band,detections,total_objects,detection_rate
6.016535,próximo,0,0,0.0
6.016535,médio,0,0,0.0
6.016535,distante,1,1,1.0
6.069527,próximo,0,0,0.0
6.069527,médio,0,0,0.0
6.069527,distante,1,1,1.0
6.130615,próximo,0,0,0.0
6.130615,médio,0,0,0.0
6.130615,distante,1,1,1.0
6.174466,próximo,0,0,0.0
6.174466,médio,0,0,0.0
6.174466,distante,1,1,1.0
6.257647,próximo,0,0,0.0
6.257647,médio,0,0,0.0
6.257647,distante,1,1,1.0
6.309027,próximo,0,0,0.0
6.309027,médio,0,0,0.0
6.309027,distante,1,1,1.0
6.384339,próximo,0,0,0.0
6.384339,médio,0,0,0.0
6.384339,distante,1,1,1.0
6.458136,próximo,0,0,0.0
6.458136,médio,0,0,0.0
6.458136,distante,1,1,1.0
6.524288,próximo,0,0,0.0
6.524288,médio,0,0,0.0
6.524288,distante,1,1,1.0
6.571942,próximo,0,0,0.0
6.571942,médio,0,0,0.0
6.571942,distante,2,2,1.0
6.614278,próximo,0,0,0.0
6.614278,médio,0,0,0.0
6.614278,distante,3,3,1.0
6.660264,próximo,0,0,0.0
6.660264,médio,0,0,0.0
6.660264,distante,4,4,1.0
6.713741,próximo,0,0,0.0
6.713741,médio,0,0,0.0
6.713741,distante,5,5,1.0
6.756099,próximo,0,0,0.0
6.756099,médio,0,0,0.0
6.756099,distante,6,6,1.0
7.026925,próximo,0,0,0.0
7.026925,médio,0,0,0.0
7.026925,distante,7,7,1.0
7.085357,próximo,0,0,0.0
7.085357,médio,0,0,0.0
7.085357,distante,8,8,1.0
7.358138,próximo,0,0,0.0
7.358138,médio,0,0,0.0
7.358138,distante,9,9,1.0
7.419093,próximo,0,0,0.0
7.419093,médio,0,0,0.0
7.419093,distante,10,10,1.0
7.725392,próximo,0,0,0.0
7.725392,médio,0,0,0.0
7.725392,distante,11,11,1.0
7.797851,próximo,0,0,0.0
7.797851,médio,0,0,0.0
7.797851,distante,12,12,1.0
8.10248,próximo,0,0,0.0
8.10248,médio,0,0,0.0
8.10248,distante,13,13,1.0
8.176225,próximo,0,0,0.0
8.176225,médio,0,0,0.0
8.176225,distante,14,14,1.0
8.464402,próximo,0,0,0.0
8.464402,médio,0,0,0.0
8.464402,distante,15,15,1.0
8.542832,próximo,0,0,0.0
8.542832,médio,0,0,0.0
8.542832,distante,16,16,1.0
8.829245,próximo,0,0,0.0
8.829245,médio,0,0,0.0
8.829245,distante,17,17,1.0
8.917021,próximo,0,0,0.0
8.917021,médio,0,0,0.0
8.917021,distante,18,18,1.0
9.21439,próximo,0,0,0.0
9.21439,médio,0,0,0.0
9.21439,distante,19,19,1.0
9.352503,próximo,0,0,0.0
9.352503,médio,0,0,0.0
9.352503,distante,20,20,1.0
9.647009,próximo,0,0,0.0
9.647009,médio,0,0,0.0
9.647009,distante,21,21,1.0
9.737282,próximo,0,0,0.0
9.737282,médio,0,0,0.0
9.737282,distante,22,22,1.0
10.019343,próximo,0,0,0.0
10.019343,médio,0,0,0.0
10.019343,distante,23,23,1.0
10.119324,próximo,0,0,0.0
10.119324,médio,0,0,0.0
10.119324,distante,24,24,1.0
10.445723,próximo,0,0,0.0
10.445723,médio,0,0,0.0
10.445723,distante,25,25,1.0
10.670208,próximo,0,0,0.0
10.670208,médio,0,0,0.0
10.670208,distante,26,26,1.0
11.017588,próximo,0,0,0.0
11.017588,médio,0,0,0.0
11.017588,distante,27,27,1.0
11.105562,próximo,0,0,0.0
11.105562,médio,0,0,0.0
11.105562,distante,28,28,1.0
11.452188,próximo,0,0,0.0
11.452188,médio,0,0,0.0
11.452188,distante,29,29,1.0
11.52379,próximo,0,0,0.0
11.52379,médio,0,0,0.0
11.52379,distante,29,29,1.0
11.805722,próximo,0,0,0.0
11.805722,médio,0,0,0.0
11.805722,distante,29,29,1.0
11.875303,próximo,0,0,0.0
11.875303,médio,0,0,0.0
11.875303,distante,29,29,1.0
12.191798,próximo,0,0,0.0
12.191798,médio,0,0,0.0
12.191798,distante,29,29,1.0
12.307958,próximo,0,0,0.0
12.307958,médio,0,0,0.0
12.307958,distante,30,30,1.0
12.658321,próximo,0,0,0.0
12.658321,médio,0,0,0.0
12.658321,distante,31,31,1.0
12.723627,próximo,0,0,0.0
12.723627,médio,0,0,0.0
12.723627,distante,31,31,1.0
13.015102,próximo,0,0,0.0
13.015102,médio,0,0,0.0
13.015102,distante,31,31,1.0
13.086682,próximo,0,0,0.0
13.086682,médio,0,0,0.0
13.086682,distante,32,32,1.0
13.367606,próximo,0,0,0.0
