timestamp,warnings_count,warning_types,high_severity,medium_severity,low_severity
6.019497,1,{'car': 1},0,0,1
6.07275,0,{},0,0,0
6.132299,0,{},0,0,0
6.176137,0,{},0,0,0
6.259285,0,{},0,0,0
6.311612,0,{},0,0,0
6.38752,0,{},0,0,0
6.459846,0,{},0,0,0
6.525901,0,{},0,0,0
6.575071,1,{'car': 1},0,0,1
6.617441,1,{'car': 1},0,0,1
6.661958,1,{'car': 1},0,0,1
6.716543,1,{'car': 1},0,0,1
6.757751,1,{'car': 1},0,0,1
7.0285,1,{'car': 1},0,0,1
7.088501,1,{'car': 1},0,0,1
7.360826,1,{'car': 1},0,0,1
7.422244,1,{'car': 1},0,0,1
7.727767,1,{'car': 1},0,0,1
7.805333,1,{'car': 1},0,0,1
8.105457,1,{'car': 1},0,0,1
8.179652,1,{'car': 1},0,0,1
8.464402,1,{'car': 1},0,0,1
8.542832,1,{'car': 1},0,0,1
8.831951,1,{'car': 1},0,0,1
8.922212,1,{'car': 1},0,0,1
9.221447,1,{'car': 1},0,0,1
9.354223,1,{'car': 1},0,0,1
9.648595,1,{'car': 1},0,0,1
9.740561,1,{'car': 1},0,0,1
10.02225,1,{'car': 1},0,0,1
10.120992,1,{'car': 1},0,0,1
10.448922,1,{'car': 1},0,0,1
10.673378,1,{'car': 1},0,0,1
11.021058,1,{'car': 1},0,0,1
11.107143,1,{'car': 1},0,0,1
11.453767,1,{'car': 1},0,0,1
11.526946,0,{},0,0,0
11.808921,0,{},0,0,0
11.876989,0,{},0,0,0
12.194146,0,{},0,0,0
12.311797,1,{'car': 1},0,0,1
12.661469,1,{'car': 1},0,0,1
12.725224,0,{},0,0,0
13.018328,0,{},0,0,0
13.090195,1,{'car': 1},0,0,1
13.37029,1,{'car': 1},0,0,1
13.458026,1,{'car': 1},0,0,1
13.732334,1,{'car': 1},0,0,1
13.817126,0,{},0,0,0
14.111964,0,{},0,0,0
14.21532,0,{},0,0,0
14.499632,0,{},0,0,0
14.588927,0,{},0,0,0
14.874224,0,{},0,0,0
14.943797,1,{'car': 1},0,0,1
15.256195,1,{'car': 1},0,0,1
15.374958,0,{},0,0,0
15.693656,0,{},0,0,0
15.783911,1,{'car': 1},0,0,1
16.068745,1,{'car': 1},0,0,1
16.150273,0,{},0,0,0
16.422808,0,{},0,0,0
16.499262,1,{'car': 1},0,0,1
16.770251,1,{'car': 1},0,0,1
16.840259,0,{},0,0,0
17.146433,0,{},0,0,0
17.213753,0,{},0,0,0
