timestamp,distance_band,detections,total_objects,detection_rate
5.649384,próximo,0,0,0.0
5.649384,médio,0,0,0.0
5.649384,distante,0,0,0.0
5.702652,próximo,0,0,0.0
5.702652,médio,0,0,0.0
5.702652,distante,0,0,0.0
5.751727,próximo,0,0,0.0
5.751727,médio,0,0,0.0
5.751727,distante,0,0,0.0
5.788261,próximo,0,0,0.0
5.788261,médio,0,0,0.0
5.788261,distante,0,0,0.0
5.844859,próximo,0,0,0.0
5.844859,médio,0,0,0.0
5.844859,distante,0,0,0.0
5.894043,próximo,0,0,0.0
5.894043,médio,0,0,0.0
5.894043,distante,0,0,0.0
5.953076,próximo,0,0,0.0
5.953076,médio,0,0,0.0
5.953076,distante,0,0,0.0
6.014879,próximo,0,0,0.0
6.014879,médio,0,0,0.0
6.014879,distante,0,0,0.0
6.070985,próximo,0,0,0.0
6.070985,médio,0,0,0.0
6.070985,distante,0,0,0.0
6.128849,próximo,0,0,0.0
6.128849,médio,0,0,0.0
6.128849,distante,0,0,0.0
6.169583,próximo,0,0,0.0
6.169583,médio,0,0,0.0
6.169583,distante,0,0,0.0
6.232631,próximo,0,0,0.0
6.232631,médio,0,0,0.0
6.232631,distante,0,0,0.0
6.26644,próximo,0,0,0.0
6.26644,médio,0,0,0.0
6.26644,distante,0,0,0.0
6.322876,próximo,0,0,0.0
6.322876,médio,0,0,0.0
6.322876,distante,0,0,0.0
6.360934,próximo,0,0,0.0
6.360934,médio,0,0,0.0
6.360934,distante,0,0,0.0
6.390926,próximo,0,0,0.0
6.390926,médio,0,0,0.0
6.390926,distante,0,0,0.0
6.658588,próximo,0,0,0.0
6.658588,médio,0,0,0.0
6.658588,distante,0,0,0.0
6.725355,próximo,0,0,0.0
6.725355,médio,0,0,0.0
6.725355,distante,0,0,0.0
6.992616,próximo,0,0,0.0
6.992616,médio,0,0,0.0
6.992616,distante,0,0,0.0
7.06079,próximo,0,0,0.0
7.06079,médio,0,0,0.0
7.06079,distante,1,1,1.0
7.349115,próximo,0,0,0.0
7.349115,médio,0,0,0.0
7.349115,distante,2,2,1.0
7.422297,próximo,0,0,0.0
7.422297,médio,0,0,0.0
7.422297,distante,2,2,1.0
7.676841,próximo,0,0,0.0
7.676841,médio,0,0,0.0
7.676841,distante,2,2,1.0
7.770102,próximo,0,0,0.0
7.770102,médio,0,0,0.0
7.770102,distante,3,3,1.0
8.037329,próximo,0,0,0.0
8.037329,médio,0,0,0.0
8.037329,distante,4,4,1.0
8.098744,próximo,0,0,0.0
8.098744,médio,0,0,0.0
8.098744,distante,4,4,1.0
8.353458,próximo,0,0,0.0
8.353458,médio,0,0,0.0
8.353458,distante,4,4,1.0
8.424581,próximo,0,0,0.0
8.424581,médio,0,0,0.0
8.424581,distante,4,4,1.0
8.696823,próximo,0,0,0.0
8.696823,médio,0,0,0.0
8.696823,distante,4,4,1.0
8.759466,próximo,0,0,0.0
8.759466,médio,0,0,0.0
8.759466,distante,4,4,1.0
9.014108,próximo,0,0,0.0
9.014108,médio,0,0,0.0
9.014108,distante,4,4,1.0
9.084994,próximo,0,0,0.0
9.084994,médio,0,0,0.0
9.084994,distante,4,4,1.0
