timestamp,distance_band,detections,total_objects,detection_rate
6.403622,próximo,0,0,0.0
6.403622,médio,0,0,0.0
6.403622,distante,0,0,0.0
6.452634,próximo,0,0,0.0
6.452634,médio,0,0,0.0
6.452634,distante,0,0,0.0
6.515515,próximo,0,0,0.0
6.515515,médio,0,0,0.0
6.515515,distante,0,0,0.0
6.566117,próximo,0,0,0.0
6.566117,médio,0,0,0.0
6.566117,distante,0,0,0.0
6.619947,próximo,0,0,0.0
6.619947,médio,0,0,0.0
6.619947,distante,0,0,0.0
6.670301,próximo,0,0,0.0
6.670301,médio,0,0,0.0
6.670301,distante,0,0,0.0
6.718649,próximo,0,0,0.0
6.718649,médio,0,0,0.0
6.718649,distante,0,0,0.0
6.957533,próximo,0,0,0.0
6.957533,médio,0,0,0.0
6.957533,distante,1,1,1.0
7.000246,próximo,0,0,0.0
7.000246,médio,0,0,0.0
7.000246,distante,1,1,1.0
7.04438,próximo,0,0,0.0
7.04438,médio,0,0,0.0
7.04438,distante,1,1,1.0
7.078197,próximo,0,0,0.0
7.078197,médio,0,0,0.0
7.078197,distante,1,1,1.0
7.145215,próximo,0,0,0.0
7.145215,médio,0,0,0.0
7.145215,distante,1,1,1.0
7.195023,próximo,0,0,0.0
7.195023,médio,0,0,0.0
7.195023,distante,1,1,1.0
7.251551,próximo,0,0,0.0
7.251551,médio,0,0,0.0
7.251551,distante,1,1,1.0
7.519425,próximo,0,0,0.0
7.519425,médio,0,0,0.0
7.519425,distante,1,1,1.0
7.591963,próximo,0,0,0.0
7.591963,médio,0,0,0.0
7.591963,distante,1,1,1.0
7.855106,próximo,0,0,0.0
7.855106,médio,0,0,0.0
7.855106,distante,1,1,1.0
7.92596,próximo,0,0,0.0
7.92596,médio,0,0,0.0
7.92596,distante,1,1,1.0
8.20235,próximo,0,0,0.0
8.20235,médio,0,0,0.0
8.20235,distante,1,1,1.0
8.268215,próximo,0,0,0.0
8.268215,médio,0,0,0.0
8.268215,distante,2,2,1.0
8.548765,próximo,0,0,0.0
8.548765,médio,0,0,0.0
8.548765,distante,3,3,1.0
8.654043,próximo,0,0,0.0
8.654043,médio,0,0,0.0
8.654043,distante,3,3,1.0
8.959854,próximo,0,0,0.0
8.959854,médio,0,0,0.0
8.959854,distante,3,3,1.0
9.019495,próximo,0,0,0.0
9.019495,médio,0,0,0.0
9.019495,distante,4,4,1.0
9.2795,próximo,0,0,0.0
9.2795,médio,0,0,0.0
9.2795,distante,5,5,1.0
9.340764,próximo,0,0,0.0
9.340764,médio,0,0,0.0
9.340764,distante,5,5,1.0
9.632071,próximo,0,0,0.0
9.632071,médio,0,0,0.0
9.632071,distante,5,5,1.0
9.691204,próximo,0,0,0.0
9.691204,médio,0,0,0.0
9.691204,distante,5,5,1.0
9.969809,próximo,0,0,0.0
9.969809,médio,0,0,0.0
9.969809,distante,5,5,1.0
10.031814,próximo,0,0,0.0
10.031814,médio,0,0,0.0
10.031814,distante,5,5,1.0
10.313266,próximo,0,0,0.0
10.313266,médio,0,0,0.0
10.313266,distante,5,5,1.0
10.39931,próximo,0,0,0.0
10.39931,médio,0,0,0.0
10.39931,distante,5,5,1.0
10.713928,próximo,0,0,0.0
10.713928,médio,0,0,0.0
10.713928,distante,5,5,1.0
10.806763,próximo,0,0,0.0
10.806763,médio,0,0,0.0
10.806763,distante,6,6,1.0
11.113956,próximo,0,0,0.0
11.113956,médio,0,0,0.0
11.113956,distante,7,7,1.0
11.187987,próximo,0,0,0.0
11.187987,médio,0,0,0.0
11.187987,distante,8,8,1.0
11.480988,próximo,0,0,0.0
11.480988,médio,0,0,0.0
11.480988,distante,9,9,1.0
11.557265,próximo,0,0,0.0
11.557265,médio,0,0,0.0
11.557265,distante,9,9,1.0
11.826582,próximo,0,0,0.0
11.826582,médio,0,0,0.0
11.826582,distante,9,9,1.0
11.889126,próximo,0,0,0.0
11.889126,médio,0,0,0.0
11.889126,distante,9,9,1.0
12.153216,próximo,0,0,0.0
12.153216,médio,0,0,0.0
12.153216,distante,9,9,1.0
12.239589,próximo,0,0,0.0
12.239589,médio,0,0,0.0
12.239589,distante,9,9,1.0
12.488378,próximo,0,0,0.0
12.488378,médio,0,0,0.0
12.488378,distante,9,9,1.0
12.567616,próximo,0,0,0.0
12.567616,médio,0,0,0.0
12.567616,distante,9,9,1.0
12.860799,próximo,0,0,0.0
12.860799,médio,0,0,0.0
12.860799,distante,9,9,1.0
12.97388,próximo,0,0,0.0
12.97388,médio,0,0,0.0
12.97388,distante,9,9,1.0
13.257447,próximo,0,0,0.0
13.257447,médio,0,0,0.0
13.257447,distante,9,9,1.0
13.328988,próximo,0,0,0.0
13.328988,médio,0,0,0.0
13.328988,distante,9,9,1.0
13.589895,próximo,0,0,0.0
13.589895,médio,0,0,0.0
13.589895,distante,9,9,1.0
13.661731,próximo,0,0,0.0
13.661731,médio,0,0,0.0
13.661731,distante,9,9,1.0
13.930638,próximo,0,0,0.0
13.930638,médio,0,0,0.0
13.930638,distante,9,9,1.0
14.002934,próximo,0,0,0.0
14.002934,médio,0,0,0.0
14.002934,distante,9,9,1.0
14.253173,próximo,0,0,0.0
14.253173,médio,0,0,0.0
14.253173,distante,9,9,1.0
14.342064,próximo,0,0,0.0
14.342064,médio,0,0,0.0
14.342064,distante,9,9,1.0
14.606226,próximo,0,0,0.0
14.606226,médio,0,0,0.0
14.606226,distante,9,9,1.0
14.712261,próximo,0,0,0.0
14.712261,médio,0,0,0.0
14.712261,distante,9,9,1.0
14.989537,próximo,0,0,0.0
14.989537,médio,0,0,0.0
14.989537,distante,9,9,1.0
15.10522,próximo,0,0,0.0
15.10522,médio,0,0,0.0
15.10522,distante,9,9,1.0
15.420857,próximo,0,0,0.0
15.420857,médio,0,0,0.0
15.420857,distante,9,9,1.0
15.632347,próximo,0,0,0.0
15.632347,médio,0,0,0.0
15.632347,distante,9,9,1.0
15.912375,próximo,0,0,0.0
15.912375,médio,0,0,0.0
15.912375,distante,9,9,1.0
15.982685,próximo,0,0,0.0
15.982685,médio,0,0,0.0
15.982685,distante,9,9,1.0
16.256095,próximo,0,0,0.0
16.256095,médio,0,0,0.0
16.256095,distante,9,9,1.0
16.327917,próximo,0,0,0.0
16.327917,médio,0,0,0.0
16.327917,distante,9,9,1.0
16.597761,próximo,0,0,0.0
16.597761,médio,0,0,0.0
16.597761,distante,9,9,1.0
16.664802,próximo,0,0,0.0
16.664802,médio,0,0,0.0
16.664802,distante,9,9,1.0
16.927612,próximo,0,0,0.0
16.927612,médio,0,0,0.0
16.927612,distante,9,9,1.0
16.994133,próximo,0,0,0.0
16.994133,médio,0,0,0.0
16.994133,distante,9,9,1.0
17.257792,próximo,0,0,0.0
17.257792,médio,0,0,0.0
17.257792,distante,9,9,1.0
17.376472,próximo,0,0,0.0
17.376472,médio,0,0,0.0
17.376472,distante,9,9,1.0
17.664245,próximo,0,0,0.0
17.664245,médio,0,0,0.0
17.664245,distante,9,9,1.0
17.731245,próximo,0,0,0.0
17.731245,médio,0,0,0.0
17.731245,distante,9,9,1.0
17.987465,próximo,0,0,0.0
17.987465,médio,0,0,0.0
17.987465,distante,9,9,1.0
18.05147,próximo,0,0,0.0
18.05147,médio,0,0,0.0
18.05147,distante,9,9,1.0
18.308257,próximo,0,0,0.0
18.308257,médio,0,0,0.0
18.308257,distante,9,9,1.0
18.409934,próximo,0,0,0.0
18.409934,médio,0,0,0.0
18.409934,distante,9,9,1.0
18.660723,próximo,0,0,0.0
18.660723,médio,0,0,0.0
18.660723,distante,9,9,1.0
18.72494,próximo,0,0,0.0
18.72494,médio,0,0,0.0
18.72494,distante,9,9,1.0
18.976098,próximo,0,0,0.0
18.976098,médio,0,0,0.0
18.976098,distante,9,9,1.0
19.042056,próximo,0,0,0.0
19.042056,médio,0,0,0.0
19.042056,distante,9,9,1.0
19.295602,próximo,0,0,0.0
19.295602,médio,0,0,0.0
19.295602,distante,9,9,1.0
19.409832,próximo,0,0,0.0
19.409832,médio,0,0,0.0
19.409832,distante,9,9,1.0
19.704002,próximo,0,0,0.0
19.704002,médio,0,0,0.0
19.704002,distante,9,9,1.0
19.78282,próximo,0,0,0.0
19.78282,médio,0,0,0.0
19.78282,distante,9,9,1.0
