timestamp,distance_band,detections,total_objects,detection_rate
6.643548,próximo,0,0,0.0
6.643548,médio,0,0,0.0
6.643548,distante,1,1,1.0
6.691015,próximo,0,0,0.0
6.691015,médio,0,0,0.0
6.691015,distante,1,1,1.0
6.732685,próximo,0,0,0.0
6.732685,médio,0,0,0.0
6.732685,distante,1,1,1.0
6.773498,próximo,0,0,0.0
6.773498,médio,0,0,0.0
6.773498,distante,1,1,1.0
6.837899,próximo,0,0,0.0
6.837899,médio,0,0,0.0
6.837899,distante,1,1,1.0
6.883739,próximo,0,0,0.0
6.883739,médio,0,0,0.0
6.883739,distante,1,1,1.0
6.946556,próximo,0,0,0.0
6.946556,médio,0,0,0.0
6.946556,distante,1,1,1.0
6.995086,próximo,0,0,0.0
6.995086,médio,0,0,0.0
6.995086,distante,1,1,1.0
7.073724,próximo,0,0,0.0
7.073724,médio,0,0,0.0
7.073724,distante,1,1,1.0
7.121165,próximo,0,0,0.0
7.121165,médio,0,0,0.0
7.121165,distante,1,1,1.0
7.414425,próximo,0,0,0.0
7.414425,médio,0,0,0.0
7.414425,distante,1,1,1.0
7.485983,próximo,0,0,0.0
7.485983,médio,0,0,0.0
7.485983,distante,1,1,1.0
7.77306,próximo,0,0,0.0
7.77306,médio,0,0,0.0
7.77306,distante,1,1,1.0
8.016001,próximo,0,0,0.0
8.016001,médio,0,0,0.0
8.016001,distante,1,1,1.0
8.312637,próximo,0,0,0.0
8.312637,médio,0,0,0.0
8.312637,distante,1,1,1.0
8.404315,próximo,0,0,0.0
8.404315,médio,0,0,0.0
8.404315,distante,1,1,1.0
8.666147,próximo,0,0,0.0
8.666147,médio,0,0,0.0
8.666147,distante,1,1,1.0
8.776193,próximo,0,0,0.0
8.776193,médio,0,0,0.0
8.776193,distante,1,1,1.0
9.034924,próximo,0,0,0.0
9.034924,médio,0,0,0.0
9.034924,distante,1,1,1.0
9.101987,próximo,0,0,0.0
9.101987,médio,0,0,0.0
9.101987,distante,1,1,1.0
9.374327,próximo,0,0,0.0
9.374327,médio,0,0,0.0
9.374327,distante,1,1,1.0
9.453603,próximo,0,0,0.0
9.453603,médio,0,0,0.0
9.453603,distante,1,1,1.0
9.703611,próximo,0,0,0.0
9.703611,médio,0,0,0.0
9.703611,distante,1,1,1.0
9.794681,próximo,0,0,0.0
9.794681,médio,0,0,0.0
9.794681,distante,1,1,1.0
10.059749,próximo,0,0,0.0
10.059749,médio,0,0,0.0
10.059749,distante,1,1,1.0
10.137556,próximo,0,0,0.0
10.137556,médio,0,0,0.0
10.137556,distante,1,1,1.0
10.401766,próximo,0,0,0.0
10.401766,médio,0,0,0.0
10.401766,distante,2,2,1.0
10.494393,próximo,0,0,0.0
10.494393,médio,0,0,0.0
10.494393,distante,3,3,1.0
10.822111,próximo,0,0,0.0
10.822111,médio,0,0,0.0
10.822111,distante,4,4,1.0
11.038117,próximo,0,0,0.0
11.038117,médio,0,0,0.0
11.038117,distante,5,5,1.0
11.351015,próximo,0,0,0.0
11.351015,médio,0,0,0.0
11.351015,distante,6,6,1.0
11.41571,próximo,0,0,0.0
11.41571,médio,0,0,0.0
11.41571,distante,7,7,1.0
11.665522,próximo,0,0,0.0
11.665522,médio,0,0,0.0
11.665522,distante,8,8,1.0
11.751947,próximo,0,0,0.0
11.751947,médio,0,0,0.0
11.751947,distante,9,9,1.0
12.030407,próximo,0,0,0.0
12.030407,médio,0,0,0.0
12.030407,distante,9,9,1.0
12.102885,próximo,0,0,0.0
12.102885,médio,0,0,0.0
12.102885,distante,9,9,1.0
12.373029,próximo,0,0,0.0
12.373029,médio,0,0,0.0
12.373029,distante,9,9,1.0
12.467734,próximo,0,0,0.0
12.467734,médio,0,0,0.0
12.467734,distante,9,9,1.0
12.731373,próximo,0,0,0.0
12.731373,médio,0,0,0.0
12.731373,distante,9,9,1.0
12.842661,próximo,0,0,0.0
12.842661,médio,0,0,0.0
12.842661,distante,9,9,1.0
13.151864,próximo,0,0,0.0
13.151864,médio,0,0,0.0
13.151864,distante,9,9,1.0
13.223914,próximo,0,0,0.0
13.223914,médio,0,0,0.0
13.223914,distante,9,9,1.0
13.5166,próximo,0,0,0.0
13.5166,médio,0,0,0.0
13.5166,distante,9,9,1.0
13.57796,próximo,0,0,0.0
13.57796,médio,0,0,0.0
13.57796,distante,9,9,1.0
13.855804,próximo,0,0,0.0
13.855804,médio,0,0,0.0
13.855804,distante,9,9,1.0
13.933419,próximo,0,0,0.0
13.933419,médio,0,0,0.0
13.933419,distante,9,9,1.0
14.197798,próximo,0,0,0.0
14.197798,médio,0,0,0.0
14.197798,distante,9,9,1.0
14.270689,próximo,0,0,0.0
14.270689,médio,0,0,0.0
14.270689,distante,9,9,1.0
14.53051,próximo,0,0,0.0
14.53051,médio,0,0,0.0
14.53051,distante,9,9,1.0
14.591107,próximo,0,0,0.0
14.591107,médio,0,0,0.0
14.591107,distante,9,9,1.0
14.86665,próximo,0,0,0.0
14.86665,médio,0,0,0.0
14.86665,distante,9,9,1.0
14.958966,próximo,0,0,0.0
14.958966,médio,0,0,0.0
14.958966,distante,9,9,1.0
15.199892,próximo,0,0,0.0
15.199892,médio,0,0,0.0
15.199892,distante,9,9,1.0
15.307332,próximo,0,0,0.0
15.307332,médio,0,0,0.0
15.307332,distante,9,9,1.0
15.613188,próximo,0,0,0.0
15.613188,médio,0,0,0.0
15.613188,distante,9,9,1.0
15.678433,próximo,0,0,0.0
15.678433,médio,0,0,0.0
15.678433,distante,9,9,1.0
15.958163,próximo,0,0,0.0
15.958163,médio,0,0,0.0
15.958163,distante,9,9,1.0
16.022139,próximo,0,0,0.0
16.022139,médio,0,0,0.0
16.022139,distante,9,9,1.0
16.264076,próximo,0,0,0.0
16.264076,médio,0,0,0.0
16.264076,distante,9,9,1.0
16.33207,próximo,0,0,0.0
16.33207,médio,0,0,0.0
16.33207,distante,9,9,1.0
16.580416,próximo,0,0,0.0
16.580416,médio,0,0,0.0
16.580416,distante,9,9,1.0
16.644662,próximo,0,0,0.0
16.644662,médio,0,0,0.0
16.644662,distante,9,9,1.0
16.924575,próximo,0,0,0.0
16.924575,médio,0,0,0.0
16.924575,distante,9,9,1.0
17.00173,próximo,0,0,0.0
17.00173,médio,0,0,0.0
17.00173,distante,9,9,1.0
17.279833,próximo,0,0,0.0
17.279833,médio,0,0,0.0
17.279833,distante,9,9,1.0
17.402588,próximo,0,0,0.0
17.402588,médio,0,0,0.0
17.402588,distante,9,9,1.0
17.70561,próximo,0,0,0.0
17.70561,médio,0,0,0.0
17.70561,distante,10,10,1.0
17.795905,próximo,0,0,0.0
17.795905,médio,0,0,0.0
17.795905,distante,11,11,1.0
18.095956,próximo,0,0,0.0
18.095956,médio,0,0,0.0
18.095956,distante,12,12,1.0
18.206611,próximo,0,0,0.0
18.206611,médio,0,0,0.0
18.206611,distante,13,13,1.0
18.50284,próximo,0,0,0.0
18.50284,médio,0,0,0.0
18.50284,distante,14,14,1.0
18.602107,próximo,0,0,0.0
18.602107,médio,0,0,0.0
18.602107,distante,15,15,1.0
18.914335,próximo,0,0,0.0
18.914335,médio,0,0,0.0
18.914335,distante,16,16,1.0
19.013547,próximo,0,0,0.0
19.013547,médio,0,0,0.0
19.013547,distante,17,17,1.0
19.31123,próximo,0,0,0.0
19.31123,médio,0,0,0.0
19.31123,distante,18,18,1.0
19.530534,próximo,0,0,0.0
19.530534,médio,0,0,0.0
19.530534,distante,19,19,1.0
19.842085,próximo,0,0,0.0
19.842085,médio,0,0,0.0
19.842085,distante,20,20,1.0
19.947016,próximo,0,0,0.0
19.947016,médio,0,0,0.0
19.947016,distante,21,21,1.0
