timestamp,distance_band,detections,total_objects,detection_rate
5.83128,próximo,0,0,0.0
5.83128,médio,0,0,0.0
5.83128,distante,1,1,1.0
6.006953,próximo,0,0,0.0
6.006953,médio,0,0,0.0
6.006953,distante,2,2,1.0
6.100336,próximo,0,0,0.0
6.100336,médio,0,0,0.0
6.100336,distante,3,3,1.0
6.220963,próximo,0,0,0.0
6.220963,médio,0,0,0.0
6.220963,distante,3,3,1.0
6.308047,próximo,0,0,0.0
6.308047,médio,0,0,0.0
6.308047,distante,3,3,1.0
6.459978,próximo,0,0,0.0
6.459978,médio,0,0,0.0
6.459978,distante,3,3,1.0
6.530786,próximo,0,0,0.0
6.530786,médio,0,0,0.0
6.530786,distante,3,3,1.0
6.611771,próximo,0,0,0.0
6.611771,médio,0,0,0.0
6.611771,distante,3,3,1.0
6.722285,próximo,0,0,0.0
6.722285,médio,0,0,0.0
6.722285,distante,4,4,1.0
6.845126,próximo,0,0,0.0
6.845126,médio,0,0,0.0
6.845126,distante,5,5,1.0
6.995434,próximo,0,0,0.0
6.995434,médio,0,0,0.0
6.995434,distante,5,5,1.0
7.070986,próximo,0,0,0.0
7.070986,médio,0,0,0.0
7.070986,distante,5,5,1.0
7.269821,próximo,0,0,0.0
7.269821,médio,0,0,0.0
7.269821,distante,5,5,1.0
7.36496,próximo,0,0,0.0
7.36496,médio,0,0,0.0
7.36496,distante,5,5,1.0
7.490987,próximo,0,0,0.0
7.490987,médio,0,0,0.0
7.490987,distante,5,5,1.0
7.578255,próximo,0,0,0.0
7.578255,médio,0,0,0.0
7.578255,distante,5,5,1.0
7.715304,próximo,0,0,0.0
7.715304,médio,0,0,0.0
7.715304,distante,6,6,1.0
7.826345,próximo,0,0,0.0
7.826345,médio,0,0,0.0
7.826345,distante,7,7,1.0
7.955428,próximo,0,0,0.0
7.955428,médio,0,0,0.0
7.955428,distante,8,8,1.0
8.307746,próximo,0,0,0.0
8.307746,médio,0,0,0.0
8.307746,distante,9,9,1.0
8.589633,próximo,0,0,0.0
8.589633,médio,0,0,0.0
8.589633,distante,10,10,1.0
8.955932,próximo,0,0,0.0
8.955932,médio,0,0,0.0
8.955932,distante,11,11,1.0
9.246879,próximo,0,0,0.0
9.246879,médio,0,0,0.0
9.246879,distante,12,12,1.0
9.637844,próximo,0,0,0.0
9.637844,médio,0,0,0.0
9.637844,distante,13,13,1.0
9.929924,próximo,0,0,0.0
9.929924,médio,0,0,0.0
9.929924,distante,13,13,1.0
10.269525,próximo,0,0,0.0
10.269525,médio,0,0,0.0
10.269525,distante,14,14,1.0
10.590085,próximo,0,0,0.0
10.590085,médio,0,0,0.0
10.590085,distante,15,15,1.0
10.918946,próximo,0,0,0.0
10.918946,médio,0,0,0.0
10.918946,distante,16,16,1.0
11.224474,próximo,0,0,0.0
11.224474,médio,0,0,0.0
11.224474,distante,17,17,1.0
11.651562,próximo,0,0,0.0
11.651562,médio,0,0,0.0
